,adeop1,adeop2,lysop1,lysop2,adewt1,adewt2,lyswt1,lyswt2,glucose,adenine,lysine
168,45,70,32,116,225,211,174,210,6893.206707525838,9003.028795675655,6383.887039087925
169,45,70,32,116,226,211,173,209,6893.206707525838,9003.028795675655,6383.887039087925
170,45,70,32,115,227,211,173,208,6893.206707525838,9003.028795675655,6383.887039087925
171,44,70,32,115,227,212,175,208,6893.206707525838,9003.028795675655,6383.887039087925
172,44,70,32,114,228,212,175,209,6893.206707525838,9003.028795675655,6383.887039087925
173,44,70,32,114,228,212,175,209,6893.206707525838,9003.028795675655,6383.887039087925
174,44,69,32,114,229,212,175,209,6893.206707525838,9003.028795675655,6383.887039087925
175,44,69,32,114,229,212,175,209,6893.206707525838,9003.028795675655,6383.887039087925
176,44,69,33,114,228,212,175,210,6893.206707525838,9003.028795675655,6383.887039087925
177,44,68,33,113,228,213,176,210,6893.206707525838,9003.028795675655,6383.887039087925
178,44,68,33,113,229,213,176,210,6893.206707525838,9003.028795675655,6383.887039087925
179,44,69,33,112,229,213,176,209,6893.206707525838,9003.028795675655,6383.887039087925
180,44,69,33,112,229,213,175,210,6893.206707525838,9003.028795675655,6383.887039087925
181,43,69,33,112,229,213,175,211,6893.206707525838,9003.028795675655,6383.887039087925
182,43,69,33,112,229,213,176,210,6893.206707525838,9003.028795675655,6383.887039087925
183,44,69,33,112,229,213,177,211,6893.206707525838,9003.028795675655,6383.887039087925
184,44,69,33,112,229,213,176,212,6893.206707525838,9003.028795675655,6383.887039087925
185,44,70,33,112,229,214,175,211,6893.206707525838,9003.028795675655,6383.887039087925
186,44,70,33,112,230,214,174,210,6893.206707525838,9003.028795675655,6383.887039087925
187,44,70,33,112,229,214,173,210,6893.206707525838,9003.028795675655,6383.887039087925
